id,district_id,name,bangla,web,created_by
82,9,Kutubdia,কুতুবদিয়া,kutubdia.coxsbazar.gov.bd,system
83,9,Ukhiya,উখিয়া,ukhiya.coxsbazar.gov.bd,system
84,9,Moheshkhali,মহেশখালী,moheshkhali.coxsbazar.gov.bd,system
85,9,Pekua,পেকুয়া,pekua.coxsbazar.gov.bd,system
86,9,Ramu,রামু,ramu.coxsbazar.gov.bd,system
87,9,Teknaf,টেকনাফ,teknaf.coxsbazar.gov.bd,system
88,10,Khagrachhari Sadar,খাগড়াছড়ি সদর,sadar.khagrachhari.gov.bd,system
89,10,Dighinala,দিঘীনালা,dighinala.khagrachhari.gov.bd,system
90,10,Panchari,পানছড়ি,panchari.khagrachhari.gov.bd,system
91,10,Laxmichhari,লক্ষীছড়ি,laxmichhari.khagrachhari.gov.bd,system
92,10,Mohalchari,মহালছড়ি,mohalchari.khagrachhari.gov.bd,system
93,10,Manikchari,মানিকছড়ি,manikchari.khagrachhari.gov.bd,system
94,10,Ramgarh,রামগড়,ramgarh.khagrachhari.gov.bd,system
95,10,Matiranga,মাটিরাঙ্গা,matiranga.khagrachhari.gov.bd,system
96,10,Guimara,গুইমারা,guimara.khagrachhari.gov.bd,system
97,11,Bandarban Sadar,বান্দরবান সদর,sadar.bandarban.gov.bd,system
98,11,Alikadam,আলীকদম,alikadam.bandarban.gov.bd,system
99,11,Naikhongchhari,নাইক্ষ্যংছড়ি,naikhongchhari.bandarban.gov.bd,system
100,11,Rowangchhari,রোয়াংছড়ি,rowangchhari.bandarban.gov.bd,system
101,11,Lama,লামা,lama.bandarban.gov.bd,system
102,11,Ruma,রুমা,ruma.bandarban.gov.bd,system
103,11,Thanchi,থানচি,thanchi.bandarban.gov.bd,system
104,12,Belkuchi,বেলকুচি,belkuchi.sirajganj.gov.bd,system
105,12,Chauhali,চৌহালি,chauhali.sirajganj.gov.bd,system
106,12,Kamarkhand,কামারখন্দ,kamarkhand.sirajganj.gov.bd,system
107,12,Kazipur,কাজীপুর,kazipur.sirajganj.gov.bd,system
108,12,Raigonj,রায়গঞ্জ,raigonj.sirajganj.gov.bd,system
109,12,Shahjadpur,শাহজাদপুর,shahjadpur.sirajganj.gov.bd,system
110,12,Sirajganj Sadar,সিরাজগঞ্জ সদর,sirajganjsadar.sirajganj.gov.bd,system
111,12,Tarash,তাড়াশ,tarash.sirajganj.gov.bd,system
112,12,Ullapara,উল্লাপাড়া,ullapara.sirajganj.gov.bd,system
113,13,Sujanagar,সুজানগর,sujanagar.pabna.gov.bd,system
114,13,Ishurdi,ঈশ্বরদী,ishurdi.pabna.gov.bd,system
115,13,Bhangura,ভাঙ্গুড়া,bhangura.pabna.gov.bd,system
116,13,Pabna Sadar,পাবনা সদর,pabnasadar.pabna.gov.bd,system
117,13,Bera,বেড়া,bera.pabna.gov.bd,system
118,13,Atghoria,আটঘরিয়া,atghoria.pabna.gov.bd,system
119,13,Chatmohar,চাটমোহর,chatmohar.pabna.gov.bd,system
120,13,Santhia,সাঁথিয়া,santhia.pabna.gov.bd,system
121,13,Faridpur,ফরিদপুর,faridpur.pabna.gov.bd,system
122,14,Kahaloo,কাহালু,kahaloo.bogra.gov.bd,system
123,14,Bogra Sadar,বগুড়া সদর,sadar.bogra.gov.bd,system
124,14,Shariakandi,সারিয়াকান্দি,shariakandi.bogra.gov.bd,system
125,14,Shajahanpur,শাজাহানপুর,shajahanpur.bogra.gov.bd,system
126,14,Dupchanchia,দুপচাচিঁয়া,dupchanchia.bogra.gov.bd,system
127,14,Adamdighi,আদমদিঘি,adamdighi.bogra.gov.bd,system
128,14,Nondigram,নন্দিগ্রাম,nondigram.bogra.gov.bd,system
129,14,Sonatala,সোনাতলা,sonatala.bogra.gov.bd,system
130,14,Dhunot,ধুনট,dhunot.bogra.gov.bd,system
131,14,Gabtali,গাবতলী,gabtali.bogra.gov.bd,system
132,14,Sherpur,শেরপুর,sherpur.bogra.gov.bd,system
133,14,Shibganj,শিবগঞ্জ,shibganj.bogra.gov.bd,system
134,15,Paba,পবা,paba.rajshahi.gov.bd,system
135,15,Durgapur,দুর্গাপুর,durgapur.rajshahi.gov.bd,system
136,15,Mohonpur,মোহনপুর,mohonpur.rajshahi.gov.bd,system
137,15,Charghat,চারঘাট,charghat.rajshahi.gov.bd,system
138,15,Puthia,পুঠিয়া,puthia.rajshahi.gov.bd,system
139,15,Bagha,বাঘা,bagha.rajshahi.gov.bd,system
